종류,규칙,답변
질병,만성신부전증상,"수년에 걸쳐 질병이 진행되어 확실한 증상이 나타날 때까지 시간이 걸린다. 색이 옅은 소변을 다량으로 보게 되고(다뇨), 수분을 보충하기 위해서 다량의 물을 마시게(다음) 된다. 차츰 식욕이 저하되고 모질이 나빠지며 마르기 시작한다. 이따금 구토를 하거나 빈혈을 일으키기도 한다. 나른해 보이고 기운이 없으며 말기에는 경련이나 혼수상태 등의 증상이 엿보이기도 한다."
질병,요독증증상,"기운, 식욕이 없어지고 구토나 설사, 빈혈 등을 일으킨다. 암모니아 냄새가 섞인 구취가 나는 경우도 있다. 체중 감소와 함께 모질이 나빠지고 빈혈, 부정맥, 경련, 혼수상태 등 다양한 증상이 나타난다."
질병,사구체신염증상,"급성인 경우는 급성 신부전의 증상이, 만성인 경우에는 만성 신부전의 증상이 나타난다. 단 다른 질병에 걸렸을 때 일어나는 경우도 많은데, 이 경우에는 원인이 되는 질병에 따라 증상이 다양하다."
질병,네프로제증후군신장증증상,몸이나 다리가 붓거나 배에 물이 고이는 복수 등의 증상이 나타난다. 단백뇨가 나오거나 혈액 중의 콜레스테롤이 증가한다. 위험한 요독증으로 이행되는 경우도 적지 않다.
질병,신우신염증상,"급성인 경우와 만성인 경우가 있다. 급성인 경우에는 발열을 하거나 구토, 식욕부진 등과 같은 증상이 나타나고 방광염과 비슷한 증상을 보인다. 만성인 경우에는 물을 많이 마시고 소변양이 증가하는(다음, 다뇨) 외에 아무런 증상이 없기 때문에 염증이 번져 신부전이 될 때까지 알아차리지 못하는 경우도 적지 않다."
질병,방광염증상,"다음, 다뇨의 증상이 보인다. 소변 보는 포즈를 자주 취하지만 나오지 않는 경우도 있다. 소변은 탁하거나 색이 진하며, 정상일 때에 비해 냄새가 강하게 나기도 한다. 발열하는 경우도 있고, 식욕이 떨어지고 기운이 없어지기도 한다."
질병,요로결석증증상,"혈뇨가 나오거나 소변 횟수가 많아지거나 적어지는 등 소변에 이상이 생긴다. 결석이 완전히 막혀버리면 배뇨 포즈를 취해도 전혀 나오지 않게 된다. 가장 많은 방광결석의 경우에는 빈뇨가 되거나 소변을 잘 못 보는 경우가 많지만 증상이 없는 경우도 있다. 소형견에서는 큰 결석이 생기면 방광 근처를 만졌을 때 단단한 응어리가 느껴지기도 한다. 요도결석은 요도가 긴 수컷에게 많고 혈뇨, 배뇨곤란, 뇨폐색 외에 소변을 볼 때마다 통증을 일으키기도 하고 갑자기 중독증을 일으키기도 한다."
질병,간질증상,"갑자기 사지가 경직되면서 경련을 일으키고 의식을 잃고 쓰러진다. 증상 정도에 따라 입에서 거품이 끓어오르거나 호흡곤란을 일으키고 대변이나 소변을 지리기도 한다. 발작은 수십 초 정도 후에 가라앉으면서 마치 아무 일도 없었던 듯한 모습을 보이지만, 간혹 발작 후에 이상한 식욕을 보이거나 물을 대량으로 들이키거나 혼수상태가 되기도 한다. 발작이 몇 차례 반복되는 경우라면 생명에 지장이 있을 수도 있으므로 서둘러 수의사에게 문의하도록 한다."
질병,전정장애증상,갑자기 증상이 나타나는 경우가 많고 고개가 기울어진 상태인 것이 특징이다. 눈이 부자연스럽게 파르르 떨리는 경우도 있다. 평형감각을 잃었기 때문에 심해지면 밥도 제대로 먹지 못하게 된다.
질병,수두증증상,"평소처럼 걷지 못하게 되는 등의 운동장애나 의식장애가 발생한다. 일상적인 행동에 이상이 발생하여 동작이 완만해지거나 반대로 쉽게 흥분한다, 난폭해진다, 잠만 잔다, 치매가 보인다 등의 증상이 나타난다. 경련 발작을 일으키기도 한다."
질병,저혈당증증상,몸에 힘이 들어가지 않고 기운을 잃거나 축 늘어져 보인다. 증상이 심해지면 호흡이 거칠어지고 경련발작을 일으키거나 하반신이 마비되거나 혼수상태에 빠지기도 한다.
질병,안면신경마비증상,"양쪽 얼굴 중 한 곳에 일어나는 경우가 많고 눈꺼풀이나 입술, 귀 등의 근육에 힘이 들어가지 않아서 처지기 때문에 눈물이나 침이 흘러내린다. 대부분은 1~2개월 정도 지나면 회복되는데 그 이상 경과해도 낫지 않고 지속되는 경우도 있다. 눈이 감기지 않게 되거나 건조성 각막염 등의 안질환을 일으키기도 한다."
질병,추간판헤르니아증상,"특히 등줄기를 따라 심한 통증이 있어서 걷는 모습이나 자세가 이상하고, 등을 만지면 아파하며, 안으려고 하면 싫어하기도 한다. 악화되면 하반신이 마비되어 앞다리로만 걷게 되고, 통각도 마비되기 때문에 꼬집어도 반응하지 않는다. 이러한 증상이 나타난 경우에는 중증이어서 적절한 처치를 하지 않으면 평생 걷지 못하게 될 수 있다."
질병,뇌의외상증상,"손상된 부위에 따라 증상이 다양하다. 고개를 기울인다, 걷거나 서지를 못한다, 의식이 혼탁하다, 혼수상태가 된다, 경련을 일으킨다, 앞이 보이지 않는다 등의 증상이 발생한다. 뇌압이 이상하게 높아지기도 한다."
질병,변형성척추증증상,"증상이 없는 경우도 많지만 허리나 등에 통증이 발생할 때에는 만지거나 억지로 걷게 하면 아파한다. 만성화되는 일이 많고 서서히 진행되어 걷는 방식에 이상이 생기고, 뒷다리를 질질 끓거나 일어나지 못하게 되기도 한다."
질병,부신피질기능항진증쿠싱증후군증상|쿠싱증후군증상|부신피질기능항진증증상,"목이 말라서 물을 많이 마시게 되고, 그로 인해 소변 횟수나 양이 증가한다. 대부분의 경우 식욕이 증진해서 평소보다 많이 먹는다. 털이 버석거리며 윤기를 잃고 몸의 양쪽 좌우대칭으로 탈모되는 것이 특징이다. 근육이 탈력·위축되기 때문에 복부가 늘어지고 다리 힘이 약해진다. 당뇨병을 병발하는 경우가 많다."
질병,부신피질기능저하증애디슨병증상|에디슨병증상|애디슨병증상|부신피질기능저하증증상,"기운이 없어지고 식욕부진, 근력저하, 설사나 구토 등의 소화기 증상이 나타난다. 체중 감소와 함께 물을 많이 마시고 다량의 소변을 보며 걷는 것을 싫어하기도 한다. 갑자기 증상이 나타나기도 하고, 심한 쇼크 증상을 일으켜서 긴급을 요하는 경우가 많으며 신속한 치료가 필요하다."
질병,당뇨병증상,목이 말라서 물을 자주 많이 마시고 소변양이 증가하는 다음다뇨의 증상이 나타난다. 먹는 양은 증가하지만 인슐린이 부족해서 대사가 나쁘기 때문에 오히려 체중은 감소한다. 증상이 진행되면 백내장이나 당뇨병성 신증 등의 합병증이 발생한다. 방치하면 당뇨병성 케토애시도시스(ketoacidosis) 상태가 되어 탈수나 혼수상태를 일으키고 목숨을 잃기도 한다.
질병,갑상선기능저하증증상,기운이 없어지고 꾸벅꾸벅 졸거나 추위를 타는 일이 잦아진다. 단순한 노화현상처럼도 보이기 때문에 주인이 알아차리지 못하는 경우도 많다. 피부가 거칠어지고 피모도 윤기를 잃고 탈모가 증가한다. 또 피부가 거뭇하게 두꺼워지고 상피병 같은 피부병이 발생하는 경우가 많아지는데 이렇게 되면 치료하기 어려워진다.
질병,요붕증증상,"다음다뇨 외에 이렇다 할 증상은 없다. 1일 소변양은 체중 1kg당 60mL 이하가 평균인데 요붕증에 걸리면 100mL 이상의 소변을 보고, 많으면 300mL까지도 배출한다. 밤중에도 몇 번씩 배뇨를 하기 때문에 주인이 수면부족에 빠지기도 한다. 수분을 극단적으로 제한하면 단시간에 탈수증상을 일으킨다."
질병,상피소체기능항진증저하증증상|상피소체증상,"항진증에서는 물을 자주 마시고 다량의 소변을 보는 다음다뇨 증상 외에 큰 변화는 없지만 저하증에서는 불안, 초조해지고 신경질적이 된다. 또 몸의 근육이 뻣뻣하거나 걷는 모습이 이상해지거나 경련을 일으키기도 한다. 뼈가 약해지기 때문에 쉽게 골절된다."
질병,골절증상,"골절된 개소에는 심한 통증이 따르고, 부어오르고 열이 동반되며 운동기능에 지장을 초래한다. 발생한 부위나 정도에 따라서 증상은 다양하다. 부러진 뼈가 피부를 뚫고 밖으로 튀어나오는 경우를 개방골절이라고 하는데 외부에 접촉되기 때문에 세균에 감염되기 쉽다. 피부가 다치지 않은 것은 폐쇄골절이다. 골절 부위의 모양에 따라 단순골절, 복잡골절 등으로 분류된다. 부러진 뼈가 큰 혈관을 손상시키면 큰 출혈을 일으키고, 등뼈가 손상되면 마비 등의 신경증상을 일으킨다."
질병,탈구증상,"증상은 탈구된 부위나 이탈된 정도에 따라 다양하다. 가벼운 경우나 부위에 따라서는 크게 통증을 느끼지 않고 붓기도 없는 경우가 있지만 일반적으로는 통증, 붓기, 운동기능 장애 등의 증상이 나타난다. 골절을 동반하는 경우도 많이 있다. 개에게 흔히 볼 수 있는 것은 고관절과 슬관절의 탈구이다. 그 밖에 족근관절, 수근관절, 선장관절, 견관절, 악관절 등에 발병한다."
질병,슬개골탈구증상,"가벼운 경우에는 통증도 없고 개가 스스로 이탈을 치료하는 경우도 있지만, 심한 경우에는 어긋난 관절부가 붓거나 인대가 파열되어 아프기 때문에 다리를 질질 끌거나 들고 걷기도 한다. 안쪽으로 어긋났는지 바깥쪽으로 어긋났는지에 따라 방향은 바뀌지만 무릎 아래쪽이 뒤틀리고 다리가 완만하게 휘어서 O다리나 X다리가 된다."
질병,구루병골연화증증상|구루병증상,"구루병은 1~3개월 정도의 새끼가 걸리고 골연화증은 성견이 걸리는데, 관절이 붓고 변형되며 쉽게 골절되는 등 증상은 같다. 통증 때문에 운동을 싫어하고 뼈가 휘어서 X다리나 O다리가 된다. 늑골과 연골의 연결 부위에 붓기가 염주처럼 이어져 있어 구루병 염주 상태가 되기도 한다."
질병,레그페르테스병증상|페르테스증상,"발병한 다리와 둔부의 근육이 위축되어 방치하면 다리를 질질 끌게 되고, 다리를 들고 걷는 등의 파행이 계속 남는다. 대부분 한쪽 다리에만 나타나는데, 드물지만 좌우 양쪽 다리에 발병하는 경우도 있다."
질병,전십자인대파열증상|전십자인대증상,체중을 받치지 못하기 때문에 뒷다리를 든 채 걷거나 질질 끌거나 하는 파행이 보인다. 체중이 가벼운 경우에는 며칠이면 평소 상태로 되돌아오기도 하지만 통증이 나타나기도 하고 가라앉기도 하는 등 파행이 반복된다. 방치하면 관절염이 되기도 한다.
질병,관절염증상,경쾌하게 움직일 수 없게 되고 운동을 싫어하며 기운을 잃는다. 진행되면 통증이 심해지고 환부가 크게 붓거나 움직일 때마다 삐걱거리는 듯한 소리가 나기도 한다. 고관절이나 슬관절에 많이 발병하는 경향이 있다.
질병,류머티스성관절염증상|류마티스증상|류머티스증상,사지의 말단에 잘 발병하고 관절이 굳어서 다리를 끌게 된다. 끌고 다니는 다리가 매일 다르기 때문에 어디가 아픈지 모를 때도 있다. 발열이나 식욕부진 등의 증상도 나타난다. 증상이 심해지면 관절이나 주변의 붓기가 눈에 띄게 심해지고 변형이 일어나며 만지는 것을 싫어하게 된다. 방치하면 주변 조직까지 파괴된다.
질병,뼈의종양증상,"골종에서는 뼈가 뭉친 듯한 응어리가 커지고 다리를 질질 끌거나 들고 걷는 등의 보행장애가 나타난다. 증상이 진행되면 골절을 입기도 한다. 연골육종은 연골 부분에 발생하는 암으로, 관절 주위가 부어서 보행장애를 일으킨다. 골육종은 전이성이 커서 폐에 전이되는 경우가 많으며 대형견의 앞다리에 잘 발병하는 것 같다."
질병,광견병증상,"잠복해 있다가 발병하기까지는 약 1주일에서 1년 정도로 기간이 다양하다. 이 질병에 감염되면 중추신경에 이상이 생겨 이상하게 짖거나 침을 흘리면서 배회하는 등의 수상쩍은 행동을 하며 흉포해지고, 점점 근육이 마비되면서 움직이지 못하게 되다가 사망에 이르게 된다. 또 감염되자마자 마비상태가 되어 며칠 만에 사망하는 마비형도 있다."
질병,홍역디스템퍼증상|홍역증상,"감염된 지 4~7일 후에 발병해서 식욕이나 기운이 없어진다. 그 후 설사 등을 하기도 하는데, 일단 열이 내려가고 언뜻 치유된 것처럼 보이기 때문에 초기증상을 놓치기 쉽다. 하지만 다시 열이 나기 시작하고 기침이나 끈적거리는 눈곱에 콧물, 설사, 구토 등의 증상이 나타난다. 경우에 따라서는 바이러스가 뇌까지 퍼져 안면이나 신체 일부를 움찔거리며 경련하는 틱 증상이나 전신의 근육이 수축하고 다리를 뻗거나 의식을 잃는 간질발작 같은 신경증상이 나타나기도 한다. 하드패트라 불리는 다리 안쪽의 육구가 각질화되어 돌처럼 딱딱해지는 특징적인 증상이 나타나기도 하고, 회복 후에도 후유증이 남거나 간혹 사망에 이르기도 한다."
질병,파보바이러스감염증증상|파보바이러스증상,"2~5일 정도 잠복했다가 심하게 구토, 설사를 한다. 증상이 심해지면 토마토케첩 같은 출혈을 동반한 점액 상태의 변을 본다. 구토와 설사 때문에 탈수증상을 일으키고 쇠약해지며 자견들은 쇼크사하기도 한다. 백혈구가 감소하는 것이 특징이고 소화기 증상을 일으키는 타입 외에 심근염형이라는 증상도 있다. 생후 몇 개월의 유견에게 발병하며 급성 심부전으로 돌연사하는 경우가 있다."
질병,전염성간염증상,"중증형에서는 일주일 정도의 잠복기 후에 고열이 며칠간 계속되다가 식욕부진에 빠진다. 구토, 설사, 복통이 일어나고 편도가 붓거나 입안의 점막이 충혈되고 점상으로 출혈하기도 한다. 자견 등은 급성 간염이 병발하여 사망하는 예도 있다. 하지만 증상이 나타나지 않거나 발열과 콧물 정도로 끝나는 경증형인 경우도 있다. 증상이 회복되면서 눈의 각막이 뿌옇게 되면서 푸른빛을 띠는 경우가 있는데 이것을 블루아이라고 한다."
질병,켄넬코프증상,마르고 심한 기침이 나온다. 기운이 없어지지도 않고 식욕도 정상일 때와 크게 다르지 않지만 증상이 진행되면 콧물이 나오거나 가래가 껴서 토하거나 미열이 나기도 한다. 통상 며칠 내로 가라앉지만 저항력이 약한 새끼나 노견은 악화되면 식욕이 없어지고 폐렴이 되거나 쇠약사하는 경우도 있으므로 가볍게 생각해서는 안 된다.
질병,코로나바이러스감염증증상|코로나바이러스증상,성견의 경우 무증상일 수도 있지만 저항력이 약한 자견 등이 걸리면 위장병이 되어 갑자기 구토나 심한 설사를 한다. 설사가 장기간 계속되고 탈수증상을 일으켜 사망에 이르기도 한다.
질병,개헤르페스바이러스감염증증상|헤르페스증상,"무증상으로 헤르페스바이러스를 보유하고 있는 어미에게서 감염된 채 태어나, 발병하면 신장이나 폐, 간장 등의 주요 장기가 괴사되면서 사망한다. 젖은 전혀 먹지 못하고 구토나 설사를 하거나 신경증상 등도 일으킨다. 이 질병은 사망률이 높은 것이 특징으로 최근에는 자견의 쇠약증후군의 주요인으로 여기고 있다. 성견에게서 증상이 나타나는 일은 거의 없지만 바이러스를 계속 보유하고 있기 때문에 다른 개에 대한 감염원이 된다."
질병,렙토스피라감염증증상|렙토스피라증상,"증상으로 불현성형, 출혈형, 황달형 등의 세 타입으로 나눌 수 있다. 대부분의 경우는 불현성형으로, 증상이 나타나지 않고 어느새 치유되어 있다. 하지만 회복한 개는 일정 기간 다른 개나 사람에 대한 감염원이 된다. 출혈형은 1~2일 발열한 후 입이나 눈의 점막이 충혈되고 구토하거나 설사를 하다 탈수증상을 일으킨다. 신장장애를 일으키기도 하며 사망률이 높은 타입이다. 황달형은 간장장애를 일으키고 점막이나 피부가 노랗게 되는 황달이 일어나고 혈뇨도 보인다. 갑자기 고열이 나고 구토하며 쇠약해지는 등으로 높은 사망률을 나타낸다."
질병,브루셀라증증상,"감염되어도 생식기 이외에는 거의 증상이 나타나지 않는다. 수컷의 경우에는 정소(고환)가 붓거나 위축되고 정상적인 정자를 생산하지 못하여 불임의 원인이 된다. 암컷이 감염된 경우에는 사산, 유산에 이른다. 또한 며칠에서 몇 주에 걸쳐 녹색을 띤 분비물이 계속 나온다."
질병,파상풍증상,"잠복 기간은 4일~2주 정도이고, 얼굴 측면의 교근(저작근의 하나)이 당기는 듯한 경련을 일으킨다. 그래서 입도 벌릴 수 없고 음식도 씹지 못하게 된다. 계속해서 온몸이 경직되고 경련을 일으킨다. 빛이나 소리, 진동 등의 자극에 예민해지고 강한 반응을 나타내는 것도 특징이다. 곧 호흡곤란을 일으키고 대부분은 사망한다."
